Pregunta,Respuesta,Recompensa,Castigo
"La tierra es el cuarto planeta en el sistema solar.", falso, food, zombie
"Las cabras pueden trepar a los árboles.", verdadero, diamond, prision
"Las avestruces son aves que no pueden volar.", verdadero, gold, lava
"El oro es un metal muy pesado.", verdadero, diamond, prision
"La electricidad es un tipo de energía renovable.", falso, food, tnt
"La luz viaja más rápido que el sonido.", verdadero, diamond, zombie
"Las jirafas tienen manchas en su piel.", verdadero, gold, prision
"Los pingüinos pueden volar.", falso, diamond, lava
"Los perros tienen más huesos que los humanos.", falso, food, prision
"Los búhos son nocturnos.", verdadero, diamond, zombie
"El Amazonas es el bosque más grande del mundo.", verdadero, gold, tnt
"Los leones son herbívoros.", falso, diamond, prision
"El sol tiene aproximadamente 4.5 mil millones de años.", verdadero, food, lava
"Las cobayas son roedores.", verdadero, diamond, prision
"Los camellos tienen una sola joroba.", verdadero, gold, tnt
"Las tortugas marinas pueden respirar bajo el agua.", falso, diamond, zombie
"El oxígeno es el gas más abundante en la atmósfera.", falso, gold, prision
"El oro es más pesado que la plata.", verdadero, diamond, tnt
"Las orcas son ballenas.", verdadero, food, prision
"El hierro es el metal más ligero.", falso, diamond, lava
"La Tierra es más grande que Júpiter.", falso, gold, prision
"Los murciélagos son mamíferos.", verdadero, diamond, zombie
"El sol es una estrella.", verdadero, food, tnt
"Los flamencos son rosados debido a su dieta.", verdadero, diamond, prision
"Las tortugas pueden vivir hasta 100 años.", verdadero, gold, lava
"Las cebras son animales que viven en los bosques.", falso, diamond, prision
"Las tortugas pueden vivir en el agua y en la tierra.", verdadero, gold, zombie
"El hielo es menos denso que el agua.", verdadero, diamond, tnt
"Las vacas pueden volar.", falso, food, prision
"Las estrellas están hechas de gas.", verdadero, diamond, lava
"Las serpientes son mamíferos.", falso, food, tnt
"Las ranas son reptiles.", falso, diamond, prision
"Las vacas producen leche.", verdadero, gold, zombie
"Los pájaros tienen plumas.", verdadero, diamond, lava
"Las jirafas tienen cuellos largos.", verdadero, gold, prision
"Los tomates son vegetales.", falso, diamond, tnt
